Xrim1,YRim1,XRim2,YRim2,XPaint1,YPaint1,XPaint2,YPaint2,XFC1,YFC1,XFC2,YFC2,X3P1,Y3P1,X3P2,Y3P2,XBackB1,YBackB1,XBackB2,YBackB2,HalfCX,HalfCY,HalfX2,HalfY2,BoundX,BoundY,XNBA3P,YNBA3P,Xbar1,Ybar1,Xbar2,Ybar2,Xbar3,Ybar3,Xbar4,Ybar4,Xbar5,Ybar5,Xbar6,Ybar6,Xbar7,Ybar7,Xbar8,Ybar8,Xbar9,Ybar9,Xbar10,Ybar10,Xbar11,Ybar11,Xbar12,Ybar12
4.792553191,44,92.73404255,44,-1,56,98,56,19.0106383,56,77.9893617,56,-1,87.5,98,87.5,2.949468085,38.36,94.05053191,38.36,48.5,56,48.5,-10,-1,98,-1,91.5,-5,43.9375,-4.5,44.625,-4,45.3125,-3.5,45.25,-3,44.35,-2.5,46,-2,45.175,-1.5,45.5875,-1,45.175,-0.5,44.35,0,43.9375,0.375,42.75
4.792432887,44.02617861,92.73416286,44.02617861,19.0106383,56,77.9893617,56,19.12092265,55.99817234,77.87907735,55.99817234,3.34,87.5,93.66,87.5,2.949468085,49.64,94.05053191,49.64,48.38971564,55.99817234,48.5,-9.9,48.5,98,12.78700198,91.5,-5,43.25,-4.5,43.25,-4,43.25,-3.5,43.25,-3,43.25,-2.5,43.25,-2,43.25,-1.5,43.25,-1,43.25,-0.5,43.25,0,43.25,0.375,42.75
4.79207201,44.05234925,92.73512507,44.07850393,19.0106383,32,77.9893617,32,19.23117342,55.99268992,77.76882658,55.99268992,3.739780789,87.49337474,93.26021921,87.49337474,2.686170213,49.64,94.31382979,49.64,48.27946488,55.99268992,48.5,-9.8,48.5,-10,13.1134741,91.22189898,-4.625,43.25,-4.125,43.25,-3.625,43.25,-3.125,43.25,-2.625,43.25,-2.125,43.25,-1.625,43.25,-1.125,43.25,-0.625,43.25,-0.125,43.25,0.375,43.25,0.374590681,42.70309666
4.79147067,44.07850393,92.73704834,44.13073361,19.0006383,32,77.9993617,32,19.341357,55.98355442,77.658643,55.98355442,4.139439801,87.47350098,92.8605602,87.47350098,2.686170213,49.63,94.31382979,49.63,48.1692813,55.98355442,48.5,-9.7,-1,-10,13.51382481,90.86488198,-4.625,43.9375,-4.125,44.625,-3.625,45.3125,-3.125,45.25,-2.625,44.35,-2.125,46,-1.625,45.175,-1.125,45.5875,-0.625,45.175,-0.125,44.35,0.375,43.9375,0.373362848,42.6562076
4.79062905,44.10463471,92.7399303,44.18280402,18.9906383,32,78.0093617,32,19.45143984,55.9707686,77.54856016,55.9707686,4.538855296,87.44038476,92.4611447,87.44038476,2.686170213,49.62,94.31382979,49.62,48.05919845,55.9707686,48.5,-9.6,-1,-9.8,13.91107647,90.49358947,-5,43.9375,-4.5,44.625,-4,45.3125,-3.5,45.25,-3,44.35,-2.5,46,-2,45.175,-1.5,45.5875,-1,45.175,-0.5,44.35,0,43.9375,0.371316875,42.60934712
4.789547408,44.13073361,92.74376745,44.2346517,18.9806383,32,78.0193617,32,19.56138842,55.95433638,77.43861158,55.95433638,4.937905607,87.39403619,92.06209439,87.39403619,2.686170213,49.61,94.31382979,49.61,47.94924988,55.95433638,48.5,-9.5,-1,-9.6,14.30510807,90.10813458,,,,,,,,,,,,,,,,,,,,,,,0.368453385,42.56252948
4.788226072,44.15679269,92.74855512,44.28621349,18.9706383,32,78.0293617,32,19.67116923,55.93426274,77.32883077,55.93426274,5.336469182,87.33446937,91.66353082,87.33446937,2.686170213,49.6,94.31382979,49.6,47.83946907,55.93426274,48.5,-9.4,-1,-9.4,14.6957996,89.70863469,,,,,,,,,,,,,,,,,,,,,,,0.364773251,42.51576894
4.786665444,44.18280402,92.75428748,44.33742658,18.9606383,32,78.0393617,32,19.78074883,55.91055382,77.21925117,55.91055382,5.734424612,87.26170245,91.26557539,87.26170245,2.686170213,49.59,94.31382979,49.59,47.72988947,55.91055382,48.5,-9.3,-1,-9.2,15.08303204,89.29521151,,,,,,,,,,,,,,,,,,,,,,,0.360277594,42.46907975
4.784866001,44.20875965,92.76095753,44.38822857,18.9506383,32,78.0493617,32,19.89009385,55.88321682,77.10990615,55.88321682,6.131650678,87.1757576,90.86834932,87.1757576,2.686170213,49.58,94.31382979,49.58,47.62054445,55.88321682,48.5,-9.2,-1,-9,15.46668744,88.86799098,,,,,,,,,,,,,,,,,,,,,,,0.354967783,42.42247614
4.78282829,44.2346517,92.76855715,44.43855756,18.9406383,32,78.0593617,32,19.99917098,55.85226009,77.00082902,55.85226009,6.528026379,87.07666099,90.47197362,87.07666099,2.686170213,49.57,94.31382979,49.57,47.51146732,55.85226009,48.5,-9.1,-1,-8.8,15.84664894,88.42710321,,,,,,,,,,,,,,,,,,,,,,,0.348845435,42.37597229
4.780552933,44.26047227,92.77707708,44.48835223,18.9306383,32,78.0693617,32,20.107947,55.81769304,76.892053,55.81769304,6.923430977,86.96444282,90.07656902,86.96444282,2.686170213,49.56,94.31382979,49.56,47.4026913,55.81769304,48.5,-9,-1,-8.6,16.22280078,87.97268253,,,,,,,,,,,,,,,,,,,,,,,0.341912415,42.32958238
4.778040621,44.28621349,92.78650695,44.53755192,18.9206383,32,78.0793617,32,20.21638876,55.7795262,76.78361124,55.7795262,7.317744027,86.83913726,89.68225597,86.83913726,2.686170213,49.55,94.31382979,49.55,47.29424954,55.7795262,48.5,-8.9,-1,-8.4,16.5950284,87.50486733,,,,,,,,,,,,,,,,,,,,,,,0.334170836,42.28332052
4.775292121,44.31186754,92.79683526,44.58609669,18.9106383,32,78.0893617,32,20.32446324,55.73777121,76.67553676,55.73777121,7.710845418,86.70078248,89.28915458,86.70078248,2.686170213,49.54,94.31382979,49.54,47.18617506,55.73777121,48.5,-8.8,-1,-8.2,16.96321842,87.02380014,,,,,,,,,,,,,,,,,,,,,,,0.325623056,42.23720082
4.772308269,44.33742658,92.80804943,44.63392739,18.9006383,32,78.0993617,32,20.43213751,55.69244078,76.56786249,55.69244078,8.102615407,86.54942063,88.89738459,86.54942063,2.686170213,49.53,94.31382979,49.53,47.07850078,55.69244078,48.5,-8.7,-1,-8,17.32725866,86.52962747,,,,,,,,,,,,,,,,,,,,,,,0.316271677,42.19123733
4.769089975,44.36288284,92.8201358,44.68098575,18.8906383,32,78.1093617,32,20.53937879,55.64354872,76.46062121,55.64354872,8.492934657,86.38509782,88.50706534,86.38509782,2.686170213,49.52,94.31382979,49.52,46.97125951,55.64354872,48.5,-8.6,-1,-7.8,17.68703826,86.02249987,,,,,,,,,,,,,,,,,,,,,,,0.306119549,42.14544404
4.765638219,44.38822857,92.83307965,44.72721443,18.8806383,32,78.1193617,32,20.64615439,55.59110992,76.35384561,55.59110992,8.881684273,86.20786409,88.11831573,86.20786409,2.686170213,49.51,94.31382979,49.51,46.86448391,55.59110992,48.5,-8.5,-1,-7.6,18.0424476,85.50257181,,,,,,,,,,,,,,,,,,,,,,,0.295169764,42.09983491
4.761954052,44.41345603,92.84686519,44.77255711,18.8706383,32,78.1293617,32,20.7524318,55.53514035,76.2475682,55.53514035,9.268745839,86.01777344,87.73125416,86.01777344,2.686170213,49.5,94.31382979,49.5,46.7582065,55.53514035,48.5,-8.4,-1,-7.4,18.39337844,84.97000167,,,,,,,,,,,,,,,,,,,,,,,0.283425658,42.05442382
