Left,Right,Date
Spring Arbor College Cougars,Eastern Michigan Eagles,11/10/2017
Webber International Warriors,Stetson Hatters,11/10/2017
Wheelock Wildcats,New Hampshire Wildcats,11/10/2017
Millsaps Majors,Jackson State Tigers,11/10/2017
Oglethorpe Stormy Petrels,Citadel Bulldogs,11/10/2017
Siena Heights Saints,Central Michigan Chippewas,11/10/2017
Walla Walla University Wolves,Eastern Washington Eagles,11/10/2017
Bridgewater (VA) Eagles,James Madison Dukes,11/10/2017
Holy Cross Crusaders,Sacred Heart Pioneers,11/10/2017
Siena Saints,Charleston Cougars,11/10/2017
Charleston Southern Buccaneers,Davidson Wildcats,11/10/2017
Ball State Cardinals,Dayton Flyers,11/10/2017
Bowling Green Falcons,Drexel Dragons,11/10/2017
Bob Jones University Bruins,Furman Paladins,11/10/2017
Lafayette Leopards,George Mason Patriots,11/10/2017
Carver College Cougars,Georgia State Panthers,11/10/2017
MIT Engineers,Harvard Crimson,11/10/2017
Army West Point Black Knights,Hofstra Pride,11/10/2017
Clarks Summit Defenders,Liberty Flames,11/10/2017
Massachusetts-Lowell River Hawks,Massachusetts Minutemen,11/10/2017
Fort Wayne Mastodons,Oakland Golden Grizzlies,11/10/2017
Georgia Southwestern Hurricanes,Radford Highlanders,11/10/2017
Delaware Fightin' Blue Hens,Richmond Spiders,11/10/2017
Grambling State Tigers,VCU Rams,11/10/2017
Southern Illinois Salukis,Winthrop Eagles,11/10/2017
Iona Gaels,Albany Great Danes,11/10/2017
Morgan State Bears,Binghamton Bearcats,11/10/2017
East Tennessee State Buccaneers,Northern Kentucky Norse,11/10/2017
Cairn University Highlanders,Delaware State Hornets,11/10/2017
Howard Bison,George Washington Colonials,11/10/2017
UNC Asheville Bulldogs,Rhode Island Rams,11/10/2017
Missouri Baptist Spartans,Southeast Missouri State Redhawks,11/10/2017
Emory University Eagles,Lipscomb Bisons,11/10/2017
Miami (OH) RedHawks,Fordham Rams,11/10/2017
Piedmont International Bruins,Coastal Carolina Chanticleers,11/10/2017
Arkansas State Red Wolves,Evansville Aces,11/10/2017
California-Santa Cruz Banana Slugs,Fresno State Bulldogs,11/10/2017
North Carolina Central Eagles,UIC Flames,11/10/2017
Wright State Raiders,Loyola Chicago Ramblers,11/10/2017
Omaha Mavericks,Montana State Bobcats,11/10/2017
Brescia Bearcats,Murray State Racers,11/10/2017
Avila Eagles,Oral Roberts Golden Eagles,11/10/2017
Niagara Purple Eagles,St. Bonaventure Bonnies,11/10/2017
Seattle Redhawks,Saint Louis Billikens,11/10/2017
Nicholls Colonels,Texas-Rio Grande Valley Vaqueros,11/10/2017
North Park Vikings,Valparaiso Crusaders,11/10/2017
Wisconsin-La Crosse Eagles,Milwaukee Panthers,11/10/2017
William & Mary Tribe,High Point Panthers,11/10/2017
Southwestern University Pirates,Incarnate Word Cardinals,11/10/2017
Central Connecticut State Blue Devils,Hartford Hawks,11/10/2017
Hampton Pirates,Rider Broncs,11/10/2017
Northeastern Huskies,Boston University Terriers,11/10/2017
Greensboro Pride,North Carolina A&T Aggies,11/10/2017
Johnson (FL) Suns,Bethune-Cookman Wildcats,11/10/2017
Valley Forge Patriots,Maryland Eastern Shore Hawks,11/10/2017
Our Lady of the Lake Saints,Texas A&M-Corpus Christi Islanders,11/10/2017
Bucknell Bison,Monmouth Hawks,11/10/2017
Midway Eagles,Tennessee Tech Golden Eagles,11/10/2017
Randall University Saints,Abilene Christian Wildcats,11/10/2017
Florida A&M Rattlers,Grand Canyon Antelopes,11/10/2017
Whitworth Pirates,Montana Grizzlies,11/10/2017
East Central Tigers,New Mexico State Aggies,11/10/2017
Utah State Aggies,Weber State Wildcats,11/10/2017
Chattanooga Mocs,Wyoming Cowboys,11/10/2017
Tennessee Wesleyan Bulldogs,Jacksonville State Gamecocks,11/10/2017
Centenary Gentlemen,Southeastern Louisiana Lions,11/10/2017
UC Irvine Anteaters,South Dakota State Jackrabbits,11/10/2017
Troy Trojans,North Dakota Fighting Hawks,11/10/2017
Sacramento State Hornets,Colorado State Rams,11/10/2017
Idaho Vandals,Nevada Wolf Pack,11/10/2017
San Diego Christian Hawks,San Diego State Aztecs,11/10/2017
Antelope Valley Pioneers,San Jose State Spartans,11/10/2017
La Verne Leopards,Santa Clara Broncos,11/10/2017
Whittier Poets,Bakersfield Roadrunners,11/10/2017
Eastern Oregon Mountaineers,Boise State Broncos,11/10/2017
Life Pacific Warriors,CSUN Matadors,11/10/2017
UAPB Golden Lions,Hawaii Rainbow Warriors,11/11/2017
Long Beach State 49ers,San Francisco Dons,11/11/2017
Canisius Golden Griffins,Buffalo Bulls,11/11/2017
Penn Quakers,Fairfield Stags,11/11/2017
Illinois State Redbirds,FGCU Eagles,11/11/2017
IUPUI Jaguars,Bradley Braves,11/11/2017
Alabama A&M Bulldogs,Ohio Bobcats,11/11/2017
Siena Heights Saints,Western Michigan Broncos,11/11/2017
Dartmouth Big Green,Quinnipiac Bobcats,11/11/2017
Johnson & Wales (RI) Wildcats,Brown Bears,11/11/2017
Coe Kohawks,Drake Bulldogs,11/11/2017
Saint Peter's Peacocks,La Salle Explorers,11/11/2017
Stephen F. Austin Lumberjacks,Longwood Lancers,11/11/2017
Toccoa Falls Eagles,Appalachian State Mountaineers,11/11/2017
Ouachita Baptist Tigers,Little Rock Trojans,11/11/2017
North Dakota State Bison,UC Santa Barbara Gauchos,11/11/2017
St. Francis Brooklyn Terriers,Duquesne Dukes,11/11/2017
Wagner Seahawks,NJIT Highlanders,11/11/2017
Cleveland State Vikings,Akron Zips,11/11/2017
William Peace Pacers,Elon Phoenix,11/11/2017
Lehigh Mountain Hawks,Marist Red Foxes,11/11/2017
North Carolina Wesleyan Battling Bishops,UNCW Seahawks,11/11/2017
Johnson (TN) Royals,Presbyterian Blue Hose,11/11/2017
Saint Joseph's Hawks,Toledo Rockets,11/11/2017
Mayville State Comets,South Dakota Coyotes,11/11/2017
Texas-Tyler Patriots,Sam Houston State Bearkats,11/11/2017
Loyola Marymount Lions,UT Arlington Mavericks,11/11/2017
St. Mary's (MN) Cardinals,Western Illinois Leathernecks,11/11/2017
Mississippi Valley State Delta Devils,BYU Cougars,11/11/2017
Northern New Mexico Eagles,New Mexico Lobos,11/11/2017
Kent State Golden Flashes,Youngstown State Penguins,11/11/2017
Florida A&M Rattlers,UNLV Runnin' Rebels,11/11/2017
Portland State Vikings,Portland Pilots,11/11/2017
Wilmington (OH) Quakers,Northern Kentucky Norse,11/12/2017
Massachusetts-Boston Beacons,Massachusetts-Lowell River Hawks,11/12/2017
Michigan-Dearborn Wolves,Eastern Michigan Eagles,11/12/2017
Massachusetts Minutemen,Harvard Crimson,11/12/2017
Toccoa Falls Eagles,Mercer Bears,11/12/2017
Washington & Lee Generals,Wofford Terriers,11/12/2017
Eureka Red Devils,Loyola Chicago Ramblers,11/12/2017
Allen Yellow Jackets,USC Upstate Spartans,11/12/2017
University of Mary Marauders,South Dakota State Jackrabbits,11/12/2017
