Left,Right,Date
Abilene Christian Wildcats,Schreiner,11/11/2016
Abilene Christian Wildcats,New Hampshire Wildcats,11/17/2016
Abilene Christian Wildcats,Charleston Southern Buccaneers,11/22/2016
Abilene Christian Wildcats,Howard Payne,11/27/2016
Abilene Christian Wildcats,New Mexico Lobos,11/30/2016
Abilene Christian Wildcats,Charleston Southern Buccaneers,12/3/2016
Abilene Christian Wildcats,Northern N.M.,12/10/2016
Abilene Christian Wildcats,Randall,12/14/2016
Abilene Christian Wildcats,Sacramento State Hornets,12/17/2016
Abilene Christian Wildcats,San Francisco Dons,12/19/2016
Abilene Christian Wildcats,New Orleans Privateers,12/29/2016
Abilene Christian Wildcats,Southeastern Louisiana Lions,12/31/2016
Abilene Christian Wildcats,Central Arkansas Bears,1/5/2017
Abilene Christian Wildcats,Stephen F. Austin Lumberjacks,1/7/2017
Abilene Christian Wildcats,Southeastern Louisiana Lions,1/12/2017
Abilene Christian Wildcats,Lamar Cardinals,1/14/2017
Abilene Christian Wildcats,Nicholls Colonels,1/19/2017
Abilene Christian Wildcats,Incarnate Word Cardinals,1/26/2017
Abilene Christian Wildcats,Texas A&M-Corpus Christi Islanders,1/28/2017
Abilene Christian Wildcats,New Orleans Privateers,2/1/2017
Abilene Christian Wildcats,Sam Houston State Bearkats,2/4/2017
Abilene Christian Wildcats,Central Arkansas Bears,2/9/2017
Abilene Christian Wildcats,Northwestern State Demons,2/11/2017
Abilene Christian Wildcats,McNeese State Cowboys,2/16/2017
Abilene Christian Wildcats,Texas A&M-Corpus Christi Islanders,2/22/2017
Abilene Christian Wildcats,Sam Houston State Bearkats,2/25/2017
Abilene Christian Wildcats,Incarnate Word Cardinals,3/1/2017
Abilene Christian Wildcats,Houston Baptist Huskies,3/4/2017
Air Force Falcons,McPherson,11/11/2016
Air Force Falcons,Jacksonville Dolphins,11/14/2016
Air Force Falcons,Johnson & Wales (CO),11/15/2016
Air Force Falcons,Florida A&M Rattlers,11/20/2016
Air Force Falcons,Stetson Hatters,11/22/2016
Air Force Falcons,Akron Zips,11/25/2016
Air Force Falcons,New Mexico State Aggies,11/30/2016
Air Force Falcons,Missouri State Bears,12/3/2016
Air Force Falcons,Army West Point Black Knights,12/7/2016
Air Force Falcons,Denver Pioneers,12/10/2016
Air Force Falcons,UC Davis Aggies,12/22/2016
Air Force Falcons,Wyoming Cowboys,12/28/2016
Air Force Falcons,Utah State Aggies,12/31/2016
Air Force Falcons,Colorado State Rams,1/7/2017
Air Force Falcons,Fresno State Bulldogs,1/11/2017
Air Force Falcons,San Jose State Spartans,1/14/2017
Air Force Falcons,Nevada Wolf Pack,1/18/2017
Air Force Falcons,UNLV Runnin' Rebels,1/21/2017
Air Force Falcons,San Diego State Aztecs,1/24/2017
Air Force Falcons,Fresno State Bulldogs,2/1/2017
Air Force Falcons,Wyoming Cowboys,2/4/2017
Air Force Falcons,New Mexico Lobos,2/8/2017
Air Force Falcons,Boise State Broncos,2/11/2017
Air Force Falcons,Nevada Wolf Pack,2/15/2017
Air Force Falcons,San Jose State Spartans,2/18/2017
Air Force Falcons,UNLV Runnin' Rebels,2/22/2017
Air Force Falcons,Utah State Aggies,2/25/2017
Air Force Falcons,San Diego State Aztecs,3/1/2017
Air Force Falcons,Boise State Broncos,3/4/2017
Air Force Falcons,Wyoming Cowboys,3/8/2017
Air Force Falcons,Colorado State Rams,3/9/2017
Akron Zips,Youngstown State Penguins,11/12/2016
Akron Zips,American University Eagles,11/17/2016
Akron Zips,Radford Highlanders,11/20/2016
Akron Zips,Georgia Southern Eagles,11/22/2016
Akron Zips,Mercer Bears,11/26/2016
Akron Zips,Adrian,11/30/2016
Akron Zips,Coppin State Eagles,12/7/2016
Akron Zips,UC Irvine Anteaters,12/21/2016
Akron Zips,Maryland Eastern Shore Hawks,12/22/2016
Akron Zips,Bowling Green Falcons,1/3/2017
Akron Zips,Western Michigan Broncos,1/6/2017
Akron Zips,Central Michigan Chippewas,1/10/2017
Akron Zips,Miami (OH) RedHawks,1/14/2017
Akron Zips,Ohio Bobcats,1/17/2017
Akron Zips,Eastern Michigan Eagles,1/20/2017
Akron Zips,Western Michigan Broncos,1/24/2017
Akron Zips,Buffalo Bulls,1/28/2017
Akron Zips,Northern Illinois Huskies,1/31/2017
Akron Zips,Ohio Bobcats,2/4/2017
Akron Zips,Ball State Cardinals,2/7/2017
Akron Zips,Eastern Michigan Eagles,2/10/2017
Akron Zips,Toledo Rockets,2/14/2017
Akron Zips,Kent State Golden Flashes,2/17/2017
Akron Zips,Bowling Green Falcons,2/21/2017
Akron Zips,Buffalo Bulls,2/24/2017
Akron Zips,Miami (OH) RedHawks,2/28/2017
