PlayerName,Region,FGM,FGA,FGPer,PerPosition,FGAPerZone,PercentRankZone,MakesAssisted,UnassistedPercen
Brendon Myles,Left Wing,1,2,50.00%,49.03%,18.18%,77.82%,100.00%,62.76%
Brendon Myles,Above Break,2,3,66.67%,5.51%,27.27%,63.54%,100.00%,50.66%
Brendon Myles,Right Wing,0,0,NA,78.61%,0.00%,57.22%,NA,62.91%
Brendon Myles,Rim,0,1,0.00%,15.77%,9.09%,8.04%,NA,77.00%
Brendon Myles,Short MR,1,1,100.00%,17.73%,9.09%,54.18%,0.00%,78.21%
Brendon Myles,Long MR,0,4,0.00%,47.68%,36.36%,69.76%,NA,87.03%
Brendon Myles,NBA,1,2,50.00%,32.97%,18.18%,69.02%,0.00%,100.00%
Andy Van Vliet,Left Wing,0,2,0.00%,NR,11.76%,NR,NA,NR
Andy Van Vliet,Above Break,3,6,50.00%,NR,35.29%,NR,66.67%,NR
Andy Van Vliet,Right Wing,0,0,NA,NR,0.00%,NR,NA,NR
Andy Van Vliet,Rim,2,3,66.67%,NR,17.65%,NR,0.00%,NR
Andy Van Vliet,Short MR,0,0,NA,NR,0.00%,NR,NA,NR
Andy Van Vliet,Long MR,1,6,16.67%,NR,35.29%,NR,100.00%,NR
Andy Van Vliet,NBA,1,5,20.00%,NR,29.41%,NR,0.00%,NR
Nick Severado,Left Wing,0,1,0.00%,NR,11.11%,NR,NA,NR
Nick Severado,Above Break,0,0,NA,NR,0.00%,NR,NA,NR
Nick Severado,Right Wing,0,0,NA,NR,0.00%,NR,NA,NR
Nick Severado,Rim,2,3,66.67%,NR,33.33%,NR,0.00%,NR
Nick Severado,Short MR,0,2,0.00%,NR,22.22%,NR,NA,NR
Nick Severado,Long MR,1,3,33.33%,NR,33.33%,NR,100.00%,NR
Nick Severado,NBA,0,0,NA,NR,0.00%,NR,NA,NR
Matt Ferris,Left Wing,0,0,NA,NR,0.00%,NR,NA,NR
Matt Ferris,Above Break,0,1,0.00%,NR,20.00%,NR,NA,NR
Matt Ferris,Right Wing,0,1,0.00%,NR,20.00%,NR,NA,NR
Matt Ferris,Rim,0,3,0.00%,NR,60.00%,NR,NA,NR
Matt Ferris,Short MR,0,0,NA,NR,0.00%,NR,NA,NR
Matt Ferris,Long MR,0,0,NA,NR,0.00%,NR,NA,NR
Matt Ferris,NBA,0,1,0.00%,NR,20.00%,NR,NA,NR
Charles Thomas IV,Left Wing,0,1,0.00%,NR,2.08%,NR,NA,NR
Charles Thomas IV,Above Break,1,3,33.33%,NR,6.25%,NR,100.00%,NR
Charles Thomas IV,Right Wing,1,2,50.00%,NR,4.17%,NR,100.00%,NR
Charles Thomas IV,Rim,11,20,55.00%,NR,41.67%,NR,72.73%,NR
Charles Thomas IV,Short MR,2,7,28.57%,NR,14.58%,NR,50.00%,NR
Charles Thomas IV,Long MR,3,15,20.00%,NR,31.25%,NR,0.00%,NR
Charles Thomas IV,NBA,1,3,33.33%,NR,6.25%,NR,0.00%,NR
Elijah Mays,Left Wing,1,2,50.00%,NR,8.33%,NR,100.00%,NR
Elijah Mays,Above Break,0,4,0.00%,NR,16.67%,NR,NA,NR
Elijah Mays,Right Wing,0,0,NA,NR,0.00%,NR,NA,NR
Elijah Mays,Rim,0,4,0.00%,NR,16.67%,NR,NA,NR
Elijah Mays,Short MR,1,3,33.33%,NR,12.50%,NR,0.00%,NR
Elijah Mays,Long MR,4,11,36.36%,NR,45.83%,NR,0.00%,NR
Elijah Mays,NBA,0,2,0.00%,NR,8.33%,NR,NA,NR
Jordan Hill,Left Wing,3,7,42.86%,NR,13.21%,NR,100.00%,NR
Jordan Hill,Above Break,4,21,19.05%,NR,39.62%,NR,100.00%,NR
Jordan Hill,Right Wing,2,6,33.33%,NR,11.32%,NR,100.00%,NR
Jordan Hill,Rim,6,7,85.71%,NR,13.21%,NR,33.33%,NR
Jordan Hill,Short MR,0,2,0.00%,NR,3.77%,NR,NA,NR
Jordan Hill,Long MR,4,10,40.00%,NR,18.87%,NR,0.00%,NR
Jordan Hill,NBA,7,22,31.82%,NR,41.51%,NR,0.00%,NR
Justin Ravenel,Left Wing,0,0,NA,NR,0.00%,NR,NA,NR
Justin Ravenel,Above Break,0,5,0.00%,NR,45.45%,NR,NA,NR
Justin Ravenel,Right Wing,0,0,NA,NR,0.00%,NR,NA,NR
Justin Ravenel,Rim,2,2,100.00%,NR,18.18%,NR,50.00%,NR
Justin Ravenel,Short MR,0,1,0.00%,NR,9.09%,NR,NA,NR
